player_name,team,rating,match_number,match_url
aspas,MIBR,1.16,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Verno,MIBR,1.07,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
xenom,MIBR,1.07,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
cortezia,MIBR,0.93,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
artzin,MIBR,0.71,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
yay,EG,1.18,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Derrek,EG,1.05,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
icy,EG,1.04,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
supamen,EG,1.01,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
NaturE,EG,0.76,1,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
yay,EG,1.06,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
NaturE,EG,0.94,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
supamen,EG,0.86,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
Derrek,EG,0.75,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
icy,EG,0.71,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
eeiu,100T,1.42,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
zander,100T,1.18,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
Cryocells,100T,1.13,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
Boostio,100T,1.05,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
Asuna,100T,0.79,2,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
leaf,G2,1.25,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
trent,G2,1.17,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
JonahP,G2,1.11,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
jawgemo,G2,0.93,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
valyn,G2,0.91,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
supamen,EG,1.06,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
yay,EG,1.01,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
Derrek,EG,0.92,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
icy,EG,0.92,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
NaturE,EG,0.76,3,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
Shyy,KRÜ,1.19,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
keznit,KRÜ,1.18,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
Mazino,KRÜ,1.01,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
Melser,KRÜ,0.88,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
adverso,KRÜ,0.86,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
icy,EG,1.17,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
yay,EG,1.09,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
Derrek,EG,1.06,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
NaturE,EG,0.95,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
supamen,EG,0.69,4,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
mitch,C9,1.2,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
v1c,C9,0.99,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
OXY,C9,0.9,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
Xeppaa,C9,0.9,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
neT,C9,0.61,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
yay,EG,1.38,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
icy,EG,1.27,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
supamen,EG,0.98,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
Derrek,EG,0.96,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
NaturE,EG,0.79,5,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
icy,EG,0.99,6,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
Derrek,EG,0.99,6,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
yay,EG,0.95,6,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
